Year,Number,Species,System
1999,30000,Golden perch,Broken River
2000,35000,Golden perch,Broken River
2001,37500,Golden perch,Broken River
2002,18000,Golden perch,Broken River
2003,36000,Golden perch,Broken River
2004,35000,Golden perch,Broken River
2005,35000,Golden perch,Broken River
2006,30800,Golden perch,Broken River
2007,35000,Golden perch,Broken River
2008,35000,Golden perch,Broken River
2009,40000,Golden perch,Broken River
2010,40000,Golden perch,Broken River
2011,40000,Golden perch,Broken River
2012,32400,Golden perch,Broken River
2013,30000,Golden perch,Broken River
2014,65000,Golden perch,Broken River
2015,66700,Golden perch,Broken River
2016,65000,Golden perch,Broken River
2017,65000,Golden perch,Broken River
2018,81000,Golden perch,Broken River
2019,79200,Golden perch,Broken River
2020,65000,Golden perch,Broken River
2021,110000,Golden perch,Broken River
2022,43270,Golden perch,Broken River
2006,470,Golden perch,Goulburn River
2007,20400,Golden perch,Goulburn River
2008,20000,Golden perch,Goulburn River
2009,20000,Golden perch,Goulburn River
2010,20000,Golden perch,Goulburn River
2011,20000,Golden perch,Goulburn River
2012,17000,Golden perch,Goulburn River
2013,35000,Golden perch,Goulburn River
2014,35000,Golden perch,Goulburn River
2016,50000,Golden perch,Goulburn River
2017,44000,Golden perch,Goulburn River
2018,59000,Golden perch,Goulburn River
2019,88950,Golden perch,Goulburn River
2020,61000,Golden perch,Goulburn River
2021,115000,Golden perch,Goulburn River
2023,150000,Golden perch,Goulburn River
1999,30000,Golden perch,Loddon River
2000,30000,Golden perch,Loddon River
2001,50000,Golden perch,Loddon River
2002,52500,Golden perch,Loddon River
2003,45000,Golden perch,Loddon River
2004,55000,Golden perch,Loddon River
2005,50000,Golden perch,Loddon River
2006,20000,Golden perch,Loddon River
2007,50000,Golden perch,Loddon River
2008,50000,Golden perch,Loddon River
2009,50000,Golden perch,Loddon River
2010,50000,Golden perch,Loddon River
2011,50000,Golden perch,Loddon River
2012,100000,Golden perch,Loddon River
2013,100000,Golden perch,Loddon River
2014,100000,Golden perch,Loddon River
2015,50000,Golden perch,Loddon River
2016,86000,Golden perch,Loddon River
2017,73000,Golden perch,Loddon River
2018,105000,Golden perch,Loddon River
2019,105000,Golden perch,Loddon River
2020,107000,Golden perch,Loddon River
2021,105000,Golden perch,Loddon River
2022,60000,Golden perch,Loddon River
1999,20000,Golden perch,Campaspe River
2000,20000,Golden perch,Campaspe River
2001,22000,Golden perch,Campaspe River
2002,45000,Golden perch,Campaspe River
2003,20000,Golden perch,Campaspe River
2004,40000,Golden perch,Campaspe River
2005,40000,Golden perch,Campaspe River
2006,10000,Golden perch,Campaspe River
2007,40000,Golden perch,Campaspe River
2009,40000,Golden perch,Campaspe River
2010,40000,Golden perch,Campaspe River
2011,40000,Golden perch,Campaspe River
2012,80000,Golden perch,Campaspe River
2013,80000,Golden perch,Campaspe River
2014,80000,Golden perch,Campaspe River
2015,40000,Golden perch,Campaspe River
2016,70000,Golden perch,Campaspe River
2017,71000,Golden perch,Campaspe River
2018,100000,Golden perch,Campaspe River
2019,70000,Golden perch,Campaspe River
2020,70000,Golden perch,Campaspe River
2021,70000,Golden perch,Campaspe River
2022,104000,Golden perch,Campaspe River
1999,5000,Golden perch,Seven Creeks
2000,5000,Golden perch,Seven Creeks
2002,3000,Golden perch,Seven Creeks
2003,5000,Golden perch,Seven Creeks
2005,5000,Golden perch,Seven Creeks
2006,5000,Golden perch,Seven Creeks
2010,5000,Golden perch,Seven Creeks
2011,5000,Golden perch,Seven Creeks
2012,5000,Golden perch,Seven Creeks
2013,2000,Golden perch,Seven Creeks
2014,1000,Golden perch,Seven Creeks
2016,2000,Golden perch,Seven Creeks
2017,3000,Golden perch,Seven Creeks
2018,4000,Golden perch,Seven Creeks
2019,1000,Golden perch,Seven Creeks
2021,4000,Golden perch,Seven Creeks
2023,8000,Golden perch,Seven Creeks
1999,27000,Golden perch,Wimmera River
2000,37500,Golden perch,Wimmera River
2001,40500,Golden perch,Wimmera River
2002,37000,Golden perch,Wimmera River
2003,34000,Golden perch,Wimmera River
2004,22000,Golden perch,Wimmera River
2005,34000,Golden perch,Wimmera River
2006,20000,Golden perch,Wimmera River
2007,10000,Golden perch,Wimmera River
2008,34000,Golden perch,Wimmera River
2009,120050,Golden perch,Wimmera River
2010,43800,Golden perch,Wimmera River
2011,35000,Golden perch,Wimmera River
2012,21000,Golden perch,Wimmera River
2013,22000,Golden perch,Wimmera River
2014,35000,Golden perch,Wimmera River
2015,70000,Golden perch,Wimmera River
2016,80000,Golden perch,Wimmera River
2017,68000,Golden perch,Wimmera River
2018,110000,Golden perch,Wimmera River
2019,150000,Golden perch,Wimmera River
2020,80000,Golden perch,Wimmera River
2021,100000,Golden perch,Wimmera River
2022,167000,Golden perch,Wimmera River
2023,170000,Golden perch,Wimmera River
2000,1000,Murray Cod,Broken River
2005,13000,Murray Cod,Broken River
2006,19000,Murray Cod,Broken River
2012,5000,Murray Cod,Broken River
2013,25000,Murray Cod,Broken River
2014,27000,Murray Cod,Broken River
2015,30000,Murray Cod,Broken River
2016,31626,Murray Cod,Broken River
2017,55000,Murray Cod,Broken River
2018,55252,Murray Cod,Broken River
2019,75464,Murray Cod,Broken River
2020,133376,Murray Cod,Broken River
2021,50000,Murray Cod,Broken River
2022,76200,Murray Cod,Broken River
2023,40000,Murray Cod,Broken River
2000,1000,Murray Cod,Broken Creek
2005,13000,Murray Cod,Broken Creek
2006,19000,Murray Cod,Broken Creek
2012,5000,Murray Cod,Broken Creek
2013,25000,Murray Cod,Broken Creek
2014,27000,Murray Cod,Broken Creek
2015,30000,Murray Cod,Broken Creek
2016,31626,Murray Cod,Broken Creek
2017,55000,Murray Cod,Broken Creek
2018,55252,Murray Cod,Broken Creek
2019,75464,Murray Cod,Broken Creek
2020,133376,Murray Cod,Broken Creek
2021,50000,Murray Cod,Broken Creek
2022,76200,Murray Cod,Broken Creek
2023,40000,Murray Cod,Broken Creek
1999,30000,Golden perch,Broken Creek
2000,35000,Golden perch,Broken Creek
2001,37500,Golden perch,Broken Creek
2002,18000,Golden perch,Broken Creek
2003,36000,Golden perch,Broken Creek
2004,35000,Golden perch,Broken Creek
2005,35000,Golden perch,Broken Creek
2006,30800,Golden perch,Broken Creek
2007,35000,Golden perch,Broken Creek
2008,35000,Golden perch,Broken Creek
2009,40000,Golden perch,Broken Creek
2010,40000,Golden perch,Broken Creek
2011,40000,Golden perch,Broken Creek
2012,32400,Golden perch,Broken Creek
2013,30000,Golden perch,Broken Creek
2014,65000,Golden perch,Broken Creek
2015,66700,Golden perch,Broken Creek
2016,65000,Golden perch,Broken Creek
2017,65000,Golden perch,Broken Creek
2018,81000,Golden perch,Broken Creek
2019,79200,Golden perch,Broken Creek
2020,65000,Golden perch,Broken Creek
2021,110000,Golden perch,Broken Creek
2022,43270,Golden perch,Broken Creek
2001,20000,Murray Cod,Campaspe River
2002,19000,Murray Cod,Campaspe River
2003,20000,Murray Cod,Campaspe River
2004,20000,Murray Cod,Campaspe River
2005,20000,Murray Cod,Campaspe River
